team_name,ml_wins,ml_losses,ats_wins,ats_losses,over_wins,under_wins
Chicago Blackhawks,9,9,15,3,6,12
Pittsburgh Penguins,10,9,15,4,9,10
Boston Bruins,12,8,15,5,12,8
Seattle Kraken,9,9,14,4,8,10
San Jose Sharks,8,11,13,6,9,10
Columbus Blue Jackets,9,9,12,6,7,11
Philadelphia Flyers,9,9,11,7,9,9
Minnesota Wild,9,11,11,9,10,10
Calgary Flames,5,15,11,9,11,9
Anaheim Ducks,11,7,10,8,10,8
Colorado Avalanche,12,6,10,8,8,10
Detroit Red Wings,10,8,10,8,8,10
New York Rangers,10,9,10,9,7,12
Vancouver Canucks,9,11,10,10,15,5
Washington Capitals,8,10,9,9,8,10
New York Islanders,10,8,9,9,13,5
Nashville Predators,6,14,9,11,8,12
Utah Mammoth,10,8,8,10,9,9
Winnipeg Jets,11,7,8,10,10,8
New Jersey Devils,13,5,8,10,9,9
Carolina Hurricanes,12,6,8,10,11,7
Los Angeles Kings,10,9,8,11,9,10
Ottawa Senators,9,10,8,11,12,7
Tampa Bay Lightning,9,9,7,11,8,10
Buffalo Sabres,6,12,7,11,10,8
Dallas Stars,12,7,7,12,10,9
Vegas Golden Knights,8,10,6,12,9,9
Montreal Canadiens,10,8,6,12,12,6
St. Louis Blues,6,13,6,13,11,8
Toronto Maple Leafs,8,11,6,13,16,3
Edmonton Oilers,9,11,6,14,12,8
Florida Panthers,9,9,5,13,8,10
